"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-04-25","6.71","0.35",,"90","66","    1",,"    1",,,,,"    1",,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-04-26","9.62","0.13",,"72","58","    1",,"    1",,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-04-27","7.38","0.00",,"78","54",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-04-28","14.99","0.00",,"80","67",,,,,,,,"    1",,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-04-29","9.62","1.71",,"82","66","    1",,"    1",,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-04-30","4.70","0.00",,"87","58",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-01","10.51","0.00",,"88","61","    1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-02","10.51","0.00",,"87","72","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-03","10.51","0.00",,"86","71","    1",,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-04","6.26","0.74",,"84","69","    1",,"    1",,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-05","6.49","0.00",,"88","71",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-06","7.16","1.28",,"83","65","    1",,"    1",,,,,,,,"    1","    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-07","8.72","0.00",,"83","71",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-08","9.17","0.03",,"87","67","    1",,,,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-09","8.50","0.00",,"91","75","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-10","9.17","0.00",,"90","70","    1",,,,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-11","10.29","0.00",,"82","58",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-12","3.80","0.00",,"84","55",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-13","8.50","0.00",,"90","57",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-14","8.28","0.76",,"83","65","    1",,"    1",,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-15","9.40","0.00",,"79","63",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-16","6.93","0.00",,"82","55",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-17","5.59","0.00",,"86","57",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-18","4.70","0.00",,"90","57",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-19","8.05","0.00",,"92","70","    1",,,,,,,"    1",,,,"    1",,,,,,
